host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
10043337,2013-11-16,"Seattle, Washington, United States",within an hour,91.0,100.0,True,Magnolia,2.0,"['email', 'phone', 'facebook', 'reviews']",True,f
23878721,2014-11-18,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'reviews', 'kba']",True,t
29652358,2015-03-19,"Seattle, Washington, United States",within a day,100.0,-1.0,True,Magnolia,1.0,"['email', 'phone', 'linkedin', 'jumio']",True,t
17764753,2014-07-07,"Seattle, Washington, United States",a few days or more,43.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
4726215,2013-01-16,"Sammamish, Washington, United States",within a few hours,100.0,100.0,True,Magnolia,3.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",True,t
38387642,2015-07-13,"Houston, Texas, United States",within an hour,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'reviews', 'kba']",True,t
1886540,2012-03-08,"Seattle, Washington, United States",within a few hours,100.0,-1.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'reviews']",True,f
6590511,2013-05-26,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Capitol Hill,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
46005243,2015-10-07,US,within an hour,100.0,100.0,True,Stevens,2.0,"['email', 'linkedin', 'reviews', 'jumio']",True,f
11653525,2014-01-26,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'reviews', 'kba']",True,t
3906464,2012-10-17,"New York, New York, United States",within a few hours,100.0,100.0,True,Belltown,2.0,"['phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",True,f
39839653,2015-07-28,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
29745749,2015-03-21,US,a few days or more,33.0,100.0,True,Belltown,2.0,"['email', 'phone', 'reviews']",True,f
18835179,2014-07-24,"Seattle, Washington, United States",within a day,70.0,100.0,True,Belltown,1.0,"['email', 'phone', 'reviews']",True,f
10260570,2013-11-25,"Seattle, Washington, United States",within a few hours,83.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",True,t
30283594,2015-03-30,US,within a few hours,97.0,100.0,True,Fenway/Kenmore,502.0,"['email', 'phone', 'reviews', 'jumio']",True,t
3010798,2012-07-21,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
22134250,2014-10-04,"Seattle, Washington, United States",within an hour,92.0,100.0,True,Belltown,3.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",True,t
21059456,2014-09-07,"Seattle, Washington, United States",Unknown,,-1.0,True,Eastlake,3.0,"['email', 'phone', 'reviews', 'kba']",True,t
2070664,2012-04-04,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Eastlake,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
9271799,2013-10-06,"Seattle, Washington, United States",Unknown,,-1.0,True,Eastlake,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
28179295,2015-02-22,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Eastlake,1.0,"['email', 'phone', 'reviews', 'jumio']",True,t
6152910,2013-04-29,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Eastlake,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
527224,2011-04-22,"Seattle, Washington, United States",Unknown,,-1.0,True,Eastlake,1.0,"['email', 'phone', 'reviews', 'kba']",True,t
35425028,2015-06-09,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Eastlake,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",True,t
222538,2010-09-03,"Seattle, Washington, United States",Unknown,,-1.0,True,Eastlake,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
3973228,2012-10-25,"Seattle, Washington, United States",Unknown,,-1.0,True,Eastlake,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
4400148,2012-12-13,"Seattle, Washington, United States",within a day,100.0,-1.0,True,Eastlake,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
748695,2011-06-27,"Seattle, Washington, United States",Unknown,,-1.0,True,Portage Bay,1.0,"['email', 'phone', 'reviews']",True,f
7963866,2013-08-05,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Eastlake,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
7096991,2013-06-24,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Eastlake,2.0,"['email', 'phone', 'reviews', 'sent_id', 'kba']",True,t
1146836,2011-09-12,"Seattle, Washington, United States",within a day,70.0,100.0,True,Eastlake,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
10058153,2013-11-16,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Eastlake,1.0,"['email', 'phone', 'reviews', 'kba']",True,t
21788061,2014-09-25,"Seattle, Washington, United States",within a day,70.0,100.0,True,Eastlake,2.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,t
